source_scraper,website,city,operation,product,listing_url,collected_at,raw_nombre,raw_descripcion,raw_ubicacion,raw_precio,raw_tipo,raw_habitaciones,raw_banos,raw_metros_cuadrados,raw_estacionamientos
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-536b6248e275-68e7-196ea6f-84b9-7e22,2025-09-17T19:22:39.279236,Casa en Venta en Insurgentes La Presa,"Superficie de terreno: 150.50m2
Superficie construida: 86m2
Dos pisos (planta alta en obra negra)
3 recámaras en planta baja
2 recámaras en obra negra en planta alta
Cochera para 1 auto
A 8 cuadras de la estación Tetlán del Tren Ligero

PLANTA BAJA:
3 habitaciones, sala comedor, cocina, 1 baño completo, patio ó jardín, cochera con portón de fierro para 1 auto.
PLANTA ALTA:
2 habtaciones en obra negra
A una cuadra de la Av. Malecón, del parque de Luis Quintanar (antes de la Solidaridad), a 8 cuadras de la estación Tetlán del tren ligero. En zona con todos los servicios y giros comerciales: varias rutas de camión, escuelas, Bodega Aurrerá, carnicerías, abarrotes, ferreterías, gimnasios, etc.","Insurgentes La Presa, Guadalajara, Jalisco","$ 1,850,000 MXN",venta,3,1,86 m²,1 Estacionamiento
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-6f2d62effd82-b780-c442e6e5-adbc-497b,2025-09-17T19:22:39.279236,Casa en Venta en Moderna,"Propiedad tipo casa en venta adecuada para reconstruir y ampliar o bien para demoler y constuir un edificio de departamentos hasta de 4 pisos, con excelente ubicación por su gran accesibilidad a medios de transporte público y por su cercanía a las principales avenidas del primer cuadro de la ciudad, como lo son Niños Héroes, Circ. Agustín Yañez, Calz, del Federalismo, Av. La Paz, 16 de sepriembre, Av. Juárez-Vallarta, Calzada Independencia, Av. Chapultepec, Av. Alemania, Calzada Lázaro Cárdenas.

Ideal para departamentos de modalidad de renta por plataforma.","Moderna, Guadalajara, Jalisco","$ 7,800,000 MXN",venta,4,2,224 m²,4 Estacionamientos
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-2bf4e8fc5045-1e5-b2ddeaef-9753-47be,2025-09-17T19:22:39.279236,Casa en Venta en Moderna,"Propiedad tipo casa en venta adecuada para reconstruir y ampliar o bien para demoler y constuir un edificio de departamentos hasta de 4 pisos, con excelente ubicación por su gran accesibilidad a medios de transporte público y por su cercanía a las principales avenidas del primer cuadro de la ciudad, como lo son Niños Héroes, Circ. Agustín Yañez, Calz, del Federalismo, Av. La Paz, 16 de sepriembre, Av. Juárez-Vallarta, Calzada Independencia, Av. Chapultepec, Av. Alemania, Calzada Lázaro Cárdenas.

Se encuentra en la calle Rayón, entre las calles Francia y España.

Ideal para remodelar para casa unifamiliar, oficina corporativa, oficinas diversas, consultorios, etc
así como para ampliar hasta tres pisos para departamentos de modalidad de renta por plataforma o bien para demoler y construir edificio hasta de 6 pisos de departamentos.

Contamos con un estudio de mercado viable para la construcción de una torre de departamentos, al igual contamos con un plano bocetado para la amoliación hasta de tres pisos.

La propiedad está libre de gravamen. Lista para escriturar.

Escuchamos propuestas para aportación a inversión o para permuta por otro bien raíz.","Moderna, Guadalajara, Jalisco","$ 7,800,000 MXN",venta,4,2,224 m²,3 Estacionamientos
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-c28195e406a5-eea2-198d8ee-af49-76f8,2025-09-17T19:22:39.279236,Casa en Venta en Mezquitan,"Casa en venta de oportunidad con fines de uso comercial, cerca de las Avenidas más importantes, Centro, Federalismo, Templos, Escuelas, Mercados Municipales. Se pude aprovechar para hacer nuevas construcciones.","Mezquitan, Guadalajara, Jalisco","$ 16,000,000 MXN",venta,6,3,183 m²,1 Estacionamiento
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-c84780a1de61-d938-1984496-8275-7e37,2025-09-17T19:22:39.279236,Casa en Venta en San Rafael,"💎 Propiedad en San Rafael, Guadalajara
🏡 Remodelada
💵 $5,529,000
🖼 217 M2 de Terreno  | 🏠 396 M2 de Construcción


🚗 Cochera para 4 Vehiculos
⬇ Planta Baja: Cochera, cocina, sala, comdeor, bodega, 2 recamaras y un baño completo.
⬆ Planta Alta: Área de lavado, 4 Recamaras, una con salida a terraza y vista al jardín con clóset y baño completo con Jacuzzi, dos recamaras cuentan con closet y baño completo, la recamara principal cuenta con vestidor, baño completo y terraza.

✨ Excelente distribución, gran ubicación a algunos metros de las avenidas principales, ventilación e iluminación natural en todos los espacios y terminados de gran calidad

Agenda una cita. EasyBroker ID: EB-TT6926","San Rafael, Guadalajara, Jalisco","$ 5,529,000 MXN",venta,6,5,396 m²,4 Estacionamientos
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-5cb0d57c4346-7911-4f13f193-8207-4afc,2025-09-17T19:22:39.279236,Casa en Venta en Country Club,"Casa de lujo en COUNTRY CLUB. Diseño espectacular, acabados de gran calidad y alta plusvalía.

Conoce que opinan dos de nuestros clientes y cuál fue su experiencia al comprar su casa con RBAresidences en el video de esta publicación.

Tu próxima casa está en RBAresidences®, SEGURIDAD, CONFORT Y PLACER.

Comodidad y elegancia en cada rincón

Imagina vivir en un hogar que ha sido diseñado pensando en el bienestar y la tranquilidad de cada integrante de la familia. Desde el vestidor, amplio y sofisticado, equipado con materiales de alta calidad que protegen tus prendas y accesorios de los factores ambientales, hasta la cocina, el verdadero corazón del hogar.

Ve el recorrido virtual y recorre la casa como si estuvieras en ella.

Cocina de ensueño personalizable

Con materiales de primera calidad que garantizan durabilidad y bajo mantenimiento, esta cocina te permite elegir entre acabados de cuarzo, mármol o granito para adaptarse a tu estilo. Su diseño amplio y funcional fomenta la convivencia y crea un entorno ideal para momentos especiales.

Innovación y tecnología para un estilo de vida moderno

Esta residencia en COUNTRY CLUB destaca por su construcción robusta y detalles que ofrecen seguridad, eficiencia y confort:

Cimentación reforzada con concreto y acero, asegurando una estructura sólida y duradera.

Ventanería Eurovent, que combina seguridad, hermetismo y excelente iluminación natural.

Pastillas de fallo a tierra instaladas en toda la casa para una protección eléctrica superior.

Instalación oculta para sistemas de seguridad, como cámaras y grabadores.

Sistemas de cierre suave en puertas de vestidores, cocina y muebles de baño, garantizando un uso silencioso.

Puertas interiores de piso a techo que maximizan la sensación de amplitud.

Altura de 3 metros en todas las áreas, creando espacios más luminosos y aireados.

Iluminación LED estratégica, que aporta calidez y sofisticación.

Regaderas con monomandos inteligentes y cristal templado de 9 mm, combinando tecnología y seguridad.

Instalaciones ocultas para sonido y aire acondicionado, brindando un diseño limpio y minimalista.

Cada espacio ha sido diseñado para crear un ambiente acogedor y eficiente, con materiales y acabados que destacan por su durabilidad y estética. Esta es una residencia donde la modernidad se encuentra con la funcionalidad para ofrecer una experiencia de vida excepcional.

Llama o manda mensaje para más información.

*El diseño de esta casa es referencial, el diseño final es 100% personalizado y se adapta a ti y a tu familia.","Country Club, Guadalajara, Jalisco","$ 39,340,000 MXN",venta,7,6,580 m²,7 Estacionamientos
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-708476bd735c-56de-d0e480c3-a935-4826,2025-09-17T19:22:39.279236,Casa en Venta en Chapalita,"Casa de lujo en CHAPALITA. Diseño espectacular, acabados de gran calidad y alta plusvalía.

Conoce que opinan dos de nuestros clientes y cuál fue su experiencia al comprar su casa con RBAresidences en el video de esta publicación.

Tu próxima casa está en RBAresidences®, SEGURIDAD, CONFORT Y PLACER.

Comodidad y elegancia en cada rincón

Imagina vivir en un hogar que ha sido diseñado pensando en el bienestar y la tranquilidad de cada integrante de la familia. Desde el vestidor, amplio y sofisticado, equipado con materiales de alta calidad que protegen tus prendas y accesorios de los factores ambientales, hasta la cocina, el verdadero corazón del hogar.

Ve el recorrido virtual y recorre la casa como si estuvieras en ella.

Cocina de ensueño personalizable

Con materiales de primera calidad que garantizan durabilidad y bajo mantenimiento, esta cocina te permite elegir entre acabados de cuarzo, mármol o granito para adaptarse a tu estilo. Su diseño amplio y funcional fomenta la convivencia y crea un entorno ideal para momentos especiales.

Innovación y tecnología para un estilo de vida moderno

Esta residencia en CHAPALITA destaca por su construcción robusta y detalles que ofrecen seguridad, eficiencia y confort:

Cimentación reforzada con concreto y acero, asegurando una estructura sólida y duradera.

Ventanería Eurovent, que combina seguridad, hermetismo y excelente iluminación natural.

Pastillas de fallo a tierra instaladas en toda la casa para una protección eléctrica superior.

Instalación oculta para sistemas de seguridad, como cámaras y grabadores.

Sistemas de cierre suave en puertas de vestidores, cocina y muebles de baño, garantizando un uso silencioso.

Puertas interiores de piso a techo que maximizan la sensación de amplitud.

Altura de 3 metros en todas las áreas, creando espacios más luminosos y aireados.

Iluminación LED estratégica, que aporta calidez y sofisticación.

Regaderas con monomandos inteligentes y cristal templado de 9 mm, combinando tecnología y seguridad.

Instalaciones ocultas para sonido y aire acondicionado, brindando un diseño limpio y minimalista.

Cada espacio ha sido diseñado para crear un ambiente acogedor y eficiente, con materiales y acabados que destacan por su durabilidad y estética. Esta es una residencia donde la modernidad se encuentra con la funcionalidad para ofrecer una experiencia de vida excepcional.

Llama o manda mensaje para más información.

*El diseño de esta casa es referencial, el diseño final es 100% personalizado y se adapta a ti y a tu familia.","Chapalita, Guadalajara, Jalisco","$ 18,228,390 MXN",venta,6,5,370 m²,6 Estacionamientos
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-c2dbf70d9340-e27c-9aa73caf-9187-4cc8,2025-09-17T19:22:39.279236,Casa en Venta en Los Colomos,"Casa de lujo en COLOMOS PROVIDENCIA. Diseño espectacular, acabados de gran calidad y alta plusvalía.

Conoce que opinan dos de nuestros clientes y cuál fue su experiencia al comprar su casa con RBAresidences en el video de esta publicación.

Tu próxima casa está en RBAresidences®, SEGURIDAD, CONFORT Y PLACER.

Vive y comparte grandes momentos en una hermosa casa diseñada con materiales de alta calidad y con un diseño moderno que garantizan plusvalía con cada año.

Disfruta de una amplitud incomparable en un área abierta en planta baja sin columnas ni muros.

Ésta casa en venta en COLOMOS PROVIDENCIA tiene amplios vestidores con espacios diseñados para guardar todos tus accesorios, calzado, ropa y con un vanitty para guardar joyería inspirado en boutiques de lujo.

Ve el recorrido virtual y recorre la casa como si estuvieras en ella.

Plafones perimetrales con luz LED que iluminan las áreas en modos cálidos o frescos.
Hermoso ingresó con gran amplitud al entrar a esta casa, con acabados de 0 mantenimiento y alta calidad. Amplia habitación en planta baja totalmente equipada con baño y vestidor.

Todas las áreas de la casa están diseñadas con espacios muy amplios y cómodos.

Alturas de 3.20 de piso a techo y una distribución bien lograda nos permite ofrecer excelente iluminación y ventilación.
Muros de yeso en todo el interior de la casa, zoclos al ras de muro, hermosa carpintería con puertas de piso a techo y pisos de gran formato.

Baños con WCs europeos empotrados en muro, espejos flotados con iluminación LED, doble regadera de torre con hidromasaje y en el baño principal, una tina para dos personas y doble lavabo.

En planta alta, una preciosa sala de estar equipada con closet de blancos, librero, área de trabajo y un espacio para limpieza y aseo. Habitaciones con baño y amplios vestidores.

Instalaciones ocultas de aire acondicionado, sonido oculto en plafón, calentador solar, paneles y sistema de riego automático en todas las áreas verdes.

Llama o manda mensaje para más información.

*El diseño de esta casa es referencial, el diseño final es 100% personalizado y se adapta a ti y a tu familia.","Los Colomos, Guadalajara, Jalisco","$ 24,648,040 MXN",venta,6,5,400 m²,6 Estacionamientos
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-23d14556775f-d411-9559557d-86d5-49d5,2025-09-17T19:22:39.279236,Casa en Venta en Monraz,"Casa de lujo en LOMAS DEL VALLE. Diseño espectacular, acabados de gran calidad y alta plusvalía.

Conoce que opinan dos de nuestros clientes y cuál fue su experiencia al comprar su casa con RBAresidences en el video de esta publicación.

Tu próxima casa está en RBAresidences®, SEGURIDAD, CONFORT Y PLACER.

Comodidad y elegancia en cada rincón

Imagina vivir en un hogar que ha sido diseñado pensando en el bienestar y la tranquilidad de cada integrante de la familia. Desde el vestidor, amplio y sofisticado, equipado con materiales de alta calidad que protegen tus prendas y accesorios de los factores ambientales, hasta la cocina, el verdadero corazón del hogar.

Ve el recorrido virtual y recorre la casa como si estuvieras en ella.

Cocina de ensueño personalizable

Con materiales de primera calidad que garantizan durabilidad y bajo mantenimiento, esta cocina te permite elegir entre acabados de cuarzo, mármol o granito para adaptarse a tu estilo. Su diseño amplio y funcional fomenta la convivencia y crea un entorno ideal para momentos especiales.

Innovación y tecnología para un estilo de vida moderno

Esta residencia en LOMAS DEL VALLE destaca por su construcción robusta y detalles que ofrecen seguridad, eficiencia y confort:

Cimentación reforzada con concreto y acero, asegurando una estructura sólida y duradera.

Ventanería Eurovent, que combina seguridad, hermetismo y excelente iluminación natural.

Pastillas de fallo a tierra instaladas en toda la casa para una protección eléctrica superior.

Instalación oculta para sistemas de seguridad, como cámaras y grabadores.

Sistemas de cierre suave en puertas de vestidores, cocina y muebles de baño, garantizando un uso silencioso.

Puertas interiores de piso a techo que maximizan la sensación de amplitud.

Altura de 3 metros en todas las áreas, creando espacios más luminosos y aireados.

Iluminación LED estratégica, que aporta calidez y sofisticación.

Regaderas con monomandos inteligentes y cristal templado de 9 mm, combinando tecnología y seguridad.

Instalaciones ocultas para sonido y aire acondicionado, brindando un diseño limpio y minimalista.

Cada espacio ha sido diseñado para crear un ambiente acogedor y eficiente, con materiales y acabados que destacan por su durabilidad y estética. Esta es una residencia donde la modernidad se encuentra con la funcionalidad para ofrecer una experiencia de vida excepcional.

Llama o manda mensaje para más información.

*El diseño de esta casa es referencial, el diseño final es 100% personalizado y se adapta a ti y a tu familia.","Monraz, Guadalajara, Jalisco","$ 25,679,960 MXN",venta,6,5,470 m²,6 Estacionamientos
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-97ea1a6a6126-a89a-cc217858-b6bb-4554,2025-09-17T19:22:39.279236,Casa en Venta en Chapalita,"Casa de lujo en CHAPALITA. Diseño espectacular, acabados de gran calidad y alta plusvalía.

Conoce que opinan dos de nuestros clientes y cuál fue su experiencia al comprar su casa con RBAresidences en el video de esta publicación.

Tu próxima casa está en RBAresidences®, SEGURIDAD, CONFORT Y PLACER.

Vive y comparte grandes momentos en una hermosa casa diseñada con materiales de alta calidad y con un diseño moderno que garantizan plusvalía con cada año.

Disfruta de una amplitud incomparable en un área abierta en planta baja sin columnas ni muros.

Ésta casa en venta en CHAPALITA tiene amplios vestidores con espacios diseñados para guardar todos tus accesorios, calzado, ropa y con un vanitty para guardar joyería inspirado en boutiques de lujo.

Ve el recorrido virtual y recorre la casa como si estuvieras en ella.

Plafones perimetrales con luz LED que iluminan las áreas en modos cálidos o frescos.
Hermoso ingresó con gran amplitud al entrar a esta casa, con acabados de 0 mantenimiento y alta calidad. Amplia habitación en planta baja totalmente equipada con baño y vestidor.

Todas las áreas de la casa están diseñadas con espacios muy amplios y cómodos.

Alturas de 3.20 de piso a techo y una distribución bien lograda nos permite ofrecer excelente iluminación y ventilación.
Muros de yeso en todo el interior de la casa, zoclos al ras de muro, hermosa carpintería con puertas de piso a techo y pisos de gran formato.

Baños con WCs europeos empotrados en muro, espejos flotados con iluminación LED, doble regadera de torre con hidromasaje y en el baño principal, una tina para dos personas y doble lavabo.

En planta alta, una preciosa sala de estar equipada con closet de blancos, librero, área de trabajo y un espacio para limpieza y aseo. Habitaciones con baño y amplios vestidores.

Instalaciones ocultas de aire acondicionado, sonido oculto en plafón, calentador solar, paneles y sistema de riego automático en todas las áreas verdes.

Llama o manda mensaje para más información.

*El diseño de esta casa es referencial, el diseño final es 100% personalizado y se adapta a ti y a tu familia.","Chapalita, Guadalajara, Jalisco","$ 16,636,369 MXN",venta,5,5,320 m²,4 Estacionamientos
